id,created_at,favorite_count,retweet_count,text
1551424603012354049,2022-07-25 04:30:24,1056,137,"Arriving with a solid punch of entertainment, super excited to present Tiger Shroff in #ScrewDheela, directed by Shashank Khaitan in an all new world of action!!!💥

https://t.co/us1aoiV84n

@apoorvamehta18 #ShashankKhaitan @iTIGERSHROFF @DharmaMovies #MentorDiscipleFilms"
1551107473964089344,2022-07-24 07:30:14,267,8,@apoorvamehta18 #ShashankKhaitan @DharmaMovies #MentorDiscipleFilms
1551107469958557696,2022-07-24 07:30:13,2797,203,"Tomorrow.
10am.
Stay tuned. https://t.co/tn3sKsyBa8"
1551077660838998017,2022-07-24 05:31:46,733,57,"Celebrating 1 month of spreading laughter, joy, and a whole lot of love on the big screens worldwide!!!♥️♥️ #JugJuggJeeyo https://t.co/QR4nnuBRRH"
1550677911245426688,2022-07-23 03:03:18,17961,2710,Congratulations to the team of #SooraraiPottru !! Hugely deserving!!!! @Suriya_offl you were outstanding in the film!!!
1550677308528332800,2022-07-23 03:00:55,3462,319,Congratulations to @ajaydevgn for winning best actor for #Tanhaji for his solid portrayal ! Also my best wishes to the entire team!! Bravo! #NationalFilmAwards
1550512912540012544,2022-07-22 16:07:40,86,2,@MikeTyson @TheDeverakonda @ananyapandayy #PuriJagannadh @Charmmeofficial @apoorvamehta18 @RonitBoseRoy @meramyakrishnan @IamVishuReddy @VikramMontrose #FarhadBhiwandiwala #AzeemDayani @DharmaMovies @PuriConnects @sonymusicindia @SonyMusicSouth @AAFilmsIndia
1550512906726670336,2022-07-22 16:07:38,763,104,"Mumbai, you brought the love, the power and THE ENERGY!! Thank you for making our #LigerTrailer event an absolute BLAST! And special love to @RanveerOfficial for always being the powerhouse of any room!💥 https://t.co/iYEHc6cEpM"
1550452116233129984,2022-07-22 12:06:05,1118,69,#JugJuggJeeyo spreading the love and joy in its 4th week at the box office…THANK YOU for all the love and support for this parivaar!♥️♥️♥️ https://t.co/0hkMzfWbPZ
1550354193764188161,2022-07-22 05:36:58,1612,52,"A beacon of courage, resilience and inspiration - heartiest congratulations to Smt. #DroupadiMurmu on being elected as the Honourable President Of India.🇮🇳"
1550186467980238849,2022-07-21 18:30:29,85,1,@apoorvamehta18 @AndhareAjit @AnilKapoor #NeetuKapoor @varun_dvn @advani_kiara @ManishPaul03 @iamMostlySane @raj_a_mehta #RishhabhSharrma @DharmaMovies @Viacom18Studios @Tseries @PrimeVideoIN
1550186464498987009,2022-07-21 18:30:28,664,50,"This wholesome parivaar with their wholesome love is all yours! #JugJuggJeeyoOnPrime, watch now!🍿

https://t.co/UV4URPIJv2 https://t.co/TrL3PNCy9O"
1550111046093774848,2022-07-21 13:30:47,1133,214,"It’s her grand debut on the Koffee couch and he returns to claim his crown of entertainment and quirk!👑

#HotstarSpecials #KoffeeWithKaranS7 episode 3 now streaming only on Disney+ Hotstar.

Watch now - https://t.co/OFIP7OFDJ9 https://t.co/Bw3zt4gDJo"
1550027583344914433,2022-07-21 07:59:08,1787,189,"What ENERGY!!!! Hyderabad, you were phenomenal…Mumbai, you’re next!!! #LigerTrailer https://t.co/IyoHl8NtCc"
1549967539023015937,2022-07-21 04:00:32,103,1,@Charmmeofficial @apoorvamehta18 @RonitBoseRoy @meramyakrishnan @IamVishuReddy @VikramMontrose #FarhadBhiwandiwala #AzeemDayani @DharmaMovies @PuriConnects @sonymusicindia @SonyMusicSouth @AAFilmsIndia
1549967536858755072,2022-07-21 04:00:32,1055,149,"All out action, dhamaaka and entertainment! India, are you ready for #Liger?!💪 

#LigerTrailer out now - https://t.co/t8V0SnIEG8 

In cinemas worldwide on 25th August.

@MikeTyson @TheDeverakonda @ananyapandayy #PuriJagannadh"
1549690777143738368,2022-07-20 09:40:47,856,56,SUPER PROUD of our film #Shershaah!!! We continue to be overwhelmed by all the love we receive for this story♥️♥️♥️ https://t.co/PBf9ZE1jtt
1549265518313734144,2022-07-19 05:30:58,181,14,@jahnvio @aneeshabaig @Dharmatic_
1549265511795814402,2022-07-19 05:30:56,5013,921,"Heart of gold and a dash of sexy &amp; bold - my two new guests on the Koffee couch are bringing the heat this Thursday in an all new episode of #HotstarSpecials #KoffeeWithKaran S7 only on Disney+ Hotstar.

@DisneyPlusHS @akshaykumar @Samanthaprabhu2 @apoorvamehta18 https://t.co/i0tpm9l2K6"
1549054443777409025,2022-07-18 15:32:14,990,34,"Served best with all your love!♥️♥️♥️
Stay tuned, a brand new episode coming your way this Thursday! #HotstarSpecials #KoffeeWithKaran S7 streaming now only on @DisneyPlusHS. https://t.co/5L03j1AbjK"
1548555862826184705,2022-07-17 06:31:03,1342,137,"Our love is now yours, with all our hearts to all of yours🧡

#Kesariya song out now - https://t.co/YfDuTwBfsi 

#Brahmastra in cinemas September 9th."
1548394202811183106,2022-07-16 19:48:40,1515,117,Tomorrow ❤️ https://t.co/BfGjjSA66l
1548221526331518976,2022-07-16 08:22:31,2597,301,"The love, light and MAGIC of #Kesariya is out tomorrow! Stay tuned for the most loved and awaited tune of the year♥️✨
#Brahmastra https://t.co/nyaAbLc23y"
1547843240707375104,2022-07-15 07:19:20,137,3,@apoorvamehta18 @AndhareAjit @AnilKapoor #NeetuKapoor @varun_dvn @advani_kiara @ManishPaul03 @iamMostlySane @raj_a_mehta #RishhabhSharrma @DharmaMovies @Viacom18Studios @Tseries
1547843237775577089,2022-07-15 07:19:20,847,39,"Creating a dhamaka and spreading the love, this parivaar is unstoppable!!! Thank you for all the love for #JugJuggJeeyo!♥️♥️♥️ https://t.co/Mgkvg6Muft"
1547574318619840517,2022-07-14 13:30:44,401,20,"An absolute riot with these two in the Koffee house! Episode 2 of #HotstarSpecials #KoffeeWithKaranS7 is NOW STREAMING only on Disney+ Hotstar!❤️❤️❤️

Watch here: https://t.co/oBBJA74n77 

@DisneyPlusHS #JanhviKapoor @SaraAliKhan @apoorvamehta18 @jahnvio @aneeshabaig @Dharmatic_ https://t.co/rZFT6ZEPd5"
1547085768639877120,2022-07-13 05:09:25,1234,92,"With just under 2 months to the release, let's dive deeper into Ayan Mukerji's Vision of Brahmāstra and the Concept of the Astraverse ✨

In cinemas September 9th, 2022.

https://t.co/oo3XISVRv2 https://t.co/ENkA7WlOJQ"
1546754111172816896,2022-07-12 07:11:32,2415,230,"Two of my favourite girls at their unfiltered best!🥳

Get ready for episode 2 of #HotstarSpecials #KoffeeWithKaranS7 streaming from July 14 on Disney+ Hotstar!

@DisneyPlusHS #JanhviKapoor #SaraAliKhan @apoorvamehta18 @jahnvio @aneeshabaig @Dharmatic_ https://t.co/A9fJoIsjpg"
